ID;Model;Phase;Device /Usage;Country;Internet provider;Indicator;Unit;Value ;Source;Source details
1;REN;Production;Laptop;;;Unit Manufacturing Energy;MJ;6640;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
2;REN;Production;Smartphone;;;Unit Manufacturing Energy;MJ;717;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
3;REN;Production;Laptop;;;Unit Manufacturing Gas Emissions; kgCO2e;514;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
4;REN;Production;Smartphone;;;Unit Manufacturing Gas Emissions; kgCO2e;61.1;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
5;REN;Production;Server (The production of the Data Centre is only considered through the production of its servers.);;;Unit Manufacturing Gas Emissions; kgCO2e;588;ADEME (2012) (7206);ADEME (2012). Réalisation d'un Bilan des émissions de gaz à effet de serre -  Guide Sectoriel 2012 - TNIC. ADEME.
6;REN;Production;Connected TV;;;Unit Manufacturing Gas Emissions; kgCO2e;441.2;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
7;REN;Production;Laptop;;;Gallium content;g;0.0076;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
8;REN;Production;Smartphone;;;Gallium content;g;4.00E-04;Greenpeace 2017 (732);Greenpeace (2017). From Smart to Senseless: The Global Impact of 10 Years of Smartphones. Feb. 2017.
9;REN;Production;Smartphone;;;Gallium content;g;5.50E-04;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
10;REN;Production;Connected TV;;;Gallium content;g;0.2;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
11;REN;Production;Laptop;;;Indium content;g;0.0175;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
12;REN;Production;Smartphone;;;Indium content;g;0.01;Greenpeace 2017 (732);Greenpeace (2017). From Smart to Senseless: The Global Impact of 10 Years of Smartphones. Feb. 2017.
13;REN;Production;Smartphone;;;Indium content;g;0.00397;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
14;REN;Production;Connected TV;;;Indium content;g;12.1;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
15;REN;Production;Laptop;;;Tantalum content;g;0.54;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
16;REN;Production;Smartphone;;;Tantalum content;g;0.045;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
17;REN;Production;Laptop;;;Copper content;g;170.7;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
18;REN;Production;Smartphone;;;Copper content;g;15.12;Greenpeace 2017 (732);Greenpeace (2017). From Smart to Senseless: The Global Impact of 10 Years of Smartphones. Feb. 2017.
19;REN;Production;Smartphone;;;Copper content;g;24.2;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
20;REN;Production;Connected TV;;;Copper content;g;885;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
21;REN;Production;Laptop;;;Cobalt content;g;12.1;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
22;REN;Production;Smartphone;;;Cobalt content;g;5.38;Greenpeace 2017 (732);Greenpeace (2017). From Smart to Senseless: The Global Impact of 10 Years of Smartphones. Feb. 2017.
23;REN;Production;Smartphone;;;Cobalt content;g;6.2;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
24;REN;Production;Laptop;;;Palladium content;g;0.00098;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
25;REN;Production;Smartphone;;;Palladium content;g;0.01;Greenpeace 2017 (732);Greenpeace (2017). From Smart to Senseless: The Global Impact of 10 Years of Smartphones. Feb. 2017.
26;REN;Production;Smartphone;;;Palladium content;g;3.6E-05;Samuli Vaija;"Laptop: data from ""Bill of Material"", from EIME Software (T3 2013 model, LCD screen 14"", SSD 256 GB) -- Smartphone: data from LCA and Materials Declaration (2014 model, LCD screen 4.5"", NAND 32 GB) -- Connected TV: adapted data from Environmental Product Declaration Samsung (TV LCD with backlight LED, 55"")"
27;REN;Run;Smartphone;;;Unit Electricity Consumption;kWh/year;5;Andrae (405 & 405[43]);"Andrae, A.S.G., Edler, T. (2015). On Global Usage of Communication Technology: Trends to 2030. Challenges. 30 Apr. 2015.
Andrae, A.S.G., Corcoran, P., M. (2013). Emerging Trends in Electricity Consumption for Consumer ICT."
28;REN;Run;Smartphone;;;Unit Electricity Consumption;kWh/year;7.74;LCA Sony (308);Ercan, M. et al. (2016). Life cycle assessment of a smartphone. Ericsson Research, Sony Mobile Communications. Paper published and presented at: ICT for Sustainability (ICT4S), Amsterdam, 30-31 August 2016.
29;REN;Run;Smartphone;;;Unit Electricity Consumption;kWh/year;4;IEEE Spectrum (324);Vaclav, S. (2016). Your Phone Costs Energy—Even Before You Turn It On. IEEE Spectrum, May 2016.
30;REN;Run;Smartphone;;;Unit Electricity Consumption;kWh/year;7;ADEME (7207);ADEME (2017). La Face Cachée du Numérique - Réduire les impacts du numérique sur l'environnement. ADEME. Juin 2017.
31;REN;Run;Laptop;;;Unit Electricity Consumption;kWh/year;80;Andrae (405 & 405[43]);"Andrae, A.S.G., Edler, T. (2015). On Global Usage of Communication Technology: Trends to 2030. Challenges. 30 Apr. 2015.
Andrae, A.S.G., Corcoran, P., M. (2013). Emerging Trends in Electricity Consumption for Consumer ICT."
32;REN;Run;Laptop;;;Unit Electricity Consumption;kWh/year;13.23;LCA Dell (314);Shrivastava, P., Stutz, M. (2017). Carbon Footprint of a Dell Latitude E7440. Dell Environmental Affairs, Carbon Footprint Study, Ocrober 2013.
33;REN;Run;Laptop;;;Unit Electricity Consumption;kWh/year;30;ADEME (7207);ADEME (2017). La Face Cachée du Numérique - Réduire les impacts du numérique sur l'environnement. ADEME. Juin 2017.
